name,tenured_total,white_tenured,white_men_tenured,white_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,ind_tenured,ind_men_tenured,ind_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,white_student,white_men_student,white_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,asian_student,asian_men_student,asian_women_student,ind_student,ind_men_student,ind_women_student,unknown_student,unknown_men_student,unknown_women_student
,,,,,,,,,,,,,,,,,,,,6152,1923,735,1188,157,69,88,3966,1457,2509,66,27,39,28,12,16,0,0,0
,,,,,,,,,,,,,,,,,,,,20,13,0,13,5,1,4,2,0,2,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,85,33,2,31,15,1,14,32,0,32,5,0,5,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,99,35,6,29,9,2,7,20,2,18,35,10,25,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,48,32,21,11,11,7,4,5,5,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,14497,10418,4565,5853,773,304,469,946,421,525,545,273,272,73,23,50,15,7,8
,,,,,,,,,,,,,,,,,,,,170,120,9,111,12,1,11,21,3,18,15,2,13,2,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,31,9,1,8,9,0,9,11,1,10,2,0,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,229,16,4,12,15,0,15,186,50,136,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,123,59,34,25,48,20,28,15,7,8,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,40,2,0,2,23,5,18,15,5,10,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,34,18,1,17,0,0,0,15,1,14,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,135,22,1,21,48,5,43,64,3,61,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,104,4,0,4,1,0,1,1,0,1,98,17,81,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,253,38,3,35,129,6,123,82,4,78,4,0,4,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,815,354,134,220,174,60,114,194,77,117,93,63,30,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,35,2,0,2,0,0,0,33,1,32,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,140,115,114,1,9,9,0,9,9,0,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,43,2,1,1,19,3,16,22,4,18,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,27,0,0,0,0,0,0,27,5,22,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,54,34,4,30,3,0,3,15,0,15,1,0,1,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,402,322,239,83,13,7,6,25,18,7,16,10,6,3,2,1,23,12,11
,,,,,,,,,,,,,,,,,,,,112,10,0,10,33,3,30,62,5,57,7,2,5,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,162,60,8,52,54,10,44,46,9,37,2,0,2,0,0,0,0,0,0
